ind,D,T,S,U,rxn,clean_time,real_time,KaiA,ATP,Temp,KaiC
r12_3,14.501476,26.630777,11.982765,46.884982,r12,3,3.5,3,10,30,3.5
r12_4,18.566961,28.501262,14.316609,38.615168,r12,4,4.5,3,10,30,3.5
r12_6,21.027747,20.819301,20.336156,37.816796,r12,6,6.966666667,3,10,30,3.5
r12_10,20.048834,15.986744,25.382552,38.58187,r12,10,10.21666667,3,10,30,3.5
r12_12,19.812606,15.084037,26.618857,38.484501,r12,12,12.25,3,10,30,3.5
r13_0,0.54837685,4.8219603,0.14167759,94.487985,r13,0,0,4.5,100,30,3.5
r13_1,9.6861511,29.217313,6.7470931,54.349443,r13,1,1,4.5,100,30,3.5
r13_2,16.910978,42.17938,8.1182988,32.791343,r13,2,2,4.5,100,30,3.5
r13_3,29.850324,51.942177,4.8260229,13.381476,r13,3,3.5,4.5,100,30,3.5
r13_4,28.228231,48.804005,3.359911,19.607853,r13,4,4.5,4.5,100,30,3.5
r13_6,41.206662,46.692189,2.5215952,9.579554,r13,6,6.966666667,4.5,100,30,3.5
r13_10,46.994738,32.939737,9.3172167,10.748308,r13,10,10.21666667,4.5,100,30,3.5
r13_12,53.622351,34.066007,9.4584892,2.8531525,r13,12,12.25,4.5,100,30,3.5
r14_0,1.053954,5.5117004,4.7931297,88.641216,r14,0,0,4.5,25,30,3.5
r14_1,6.4394796,26.129288,10.196946,57.234286,r14,1,1,4.5,25,30,3.5
r14_2,15.790021,35.582259,14.276056,34.351664,r14,2,2,4.5,25,30,3.5
r14_3,22.341149,39.481685,8.3577146,29.819451,r14,3,3.5,4.5,25,30,3.5
r14_4,34.24622,35.168971,10.944677,19.640132,r14,4,4.5,4.5,25,30,3.5
r14_6,38.218601,34.136232,10.504823,17.140344,r14,6,6.966666667,4.5,25,30,3.5
r14_10,36.745721,26.895653,23.184077,13.174548,r14,10,10.21666667,4.5,25,30,3.5
r14_12,35.195947,25.267277,18.981792,20.554984,r14,12,12.25,4.5,25,30,3.5
r15_0,0.25440066,0.51279159,0.59907817,98.63373,r15,0,0,4.5,10,30,3.5
r15_1,4.8696282,21.749736,10.065183,63.315453,r15,1,1,4.5,10,30,3.5
